name,collection,material,verts,faces,x_min_mm,x_max_mm,y_min_mm,y_max_mm,z_min_mm,z_max_mm,r_max_mm,count,spool,axis_x,axis_y,axis_z,spin
blades_lpt_s1,04 Turbines,hot_nickel,85684,60698,2134.5,2191.5,-442.9,442.9,-442.9,442.9,442.9,62,,,,,
blades_lpt_s2,04 Turbines,hot_nickel,49840,46340,2247.2,2296.8,-465.9,465.9,-465.9,465.9,465.9,,,,,,
hpt_disc,04 Turbines,hot_nickel,1344,1344,1920.0,2113.8,-303.0,303.0,-303.0,303.0,303.0,,hp,1.0,0.0,0.0,-1.0
lpt_disc_assembly,04 Turbines,hot_nickel,2688,2688,2189.6,2490.0,-295.0,295.0,-295.0,295.0,295.0,,lp,1.0,0.0,0.0,1.0
turbine_blade_outer_air_seals,04 Turbines,hot_nickel,6048,6048,2045.4,2349.6,-467.9,467.9,-467.9,467.9,467.9,,,,,,
turbine_inner_flowpath,04 Turbines,hot_nickel,1440,1440,1970.0,2410.0,-314.5,314.5,-314.5,314.5,314.5,,,,,,
turbine_interstage_seals,04 Turbines,steel,2304,2304,2115.0,2128.5,-300.0,300.0,-300.0,300.0,300.0,,,,,,
augmentor_liner,05 Augmentor,thermal_barrier,19182,13716,2740.0,3640.0,-410.3,410.3,-410.3,410.3,410.3,,,,,,
flameholder,05 Augmentor,hot_nickel,2704,2676,2843.0,2880.4,-367.0,367.0,-404.0,404.0,404.1,,,,,,
mixer,05 Augmentor,hot_nickel,5184,5184,2520.0,2760.0,-438.0,438.0,-438.0,438.0,438.0,,,,,,
spraybars,05 Augmentor,steel,6400,7296,2776.0,2824.0,-496.0,496.0,-496.0,496.0,496.6,,,,,,
nozzle_actuator_ring,06 Nozzle,steel,2016,2016,3570.0,3610.0,-535.5,535.5,-535.5,535.5,535.5,,,,,,
nozzle_actuators,06 Nozzle,steel,840,996,3317.0,3590.0,-576.0,576.0,-502.9,502.9,576.0,,,,,,
nozzle_ext_flaps,06 Nozzle,casing_alloy,9072,9096,3644.0,4194.0,-450.9,450.9,-450.9,450.9,452.0,,,,,,
nozzle_flaps_convergent,06 Nozzle,thermal_barrier,2640,2592,3640.0,3957.0,-438.0,438.0,-438.0,438.0,438.0,,,,,,
nozzle_flaps_divergent,06 Nozzle,thermal_barrier,1944,1752,3940.0,4210.0,-380.0,380.0,-380.0,380.0,380.0,,,,,,
nozzle_links,06 Nozzle,steel,1128,1104,3590.1,3869.0,-511.7,511.7,-511.7,511.7,529.4,,,,,,
nozzle_seals,06 Nozzle,thermal_barrier,6048,5280,3640.0,4210.0,-468.0,468.0,-468.0,468.0,468.0,,,,,,
access_panels,09 Accessories,casing_alloy,396,378,225.0,2340.0,-256.5,354.5,-606.9,606.9,607.0,,,,,,
antiice_duct,09 Accessories,steel,860,846,-364.0,1181.1,-576.3,567.4,-567.4,567.4,661.8,,,,,,
bearing_sumps,09 Accessories,steel,1300,1260,-114.0,2464.0,-230.0,230.0,-291.4,230.0,291.4,,,,,,
bleed_pipes,09 Accessories,casing_alloy,894,798,817.4,1565.6,-508.6,519.5,-445.1,445.1,645.5,,,,,,
borescope_ports,09 Accessories,steel,672,672,874.0,2406.0,113.6,449.9,-563.8,572.9,586.7,,,,,,
engine_control,09 Accessories,casing_alloy,664,660,306.0,566.0,-695.2,-323.0,31.0,583.9,753.5,,,,,,
fan_containment,01 Inlet and Fan,titanium,864,864,20.0,190.0,-630.0,630.0,-630.0,630.0,630.0,,,,,,
